
For Photo-ID:  65_01_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Exterior Orientation Parameters: [-1.05509 , -5.25698 , 92.0149 , 1.63611 , 2.18406 , 3.72714]



For Photo-ID:  65_11_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
2            4.82648     2.39742         2          0.945          3.778              0      1         12
3            4.29402   -0.158392         3          1.892          3.778              0      1         14
4            3.82887    -2.27297         4          2.834          3.778              0      1         14
5            3.44087    -4.04094         5          3.782          3.778              0      1         13
7             2.1209      2.5227         7          0.945          2.832              0      1         17
8            1.84297  -0.0616827         8          1.892          2.832              0      1         18
9            1.60396    -2.20546         9          2.834          2.832              0      1         18
10           1.40252     -4.0055        10          3.782          2.832              0      1         18
12         -0.584048     2.61922        12          0.945          1.891              0      1         17
13         -0.614098   0.0357842        13          1.892          1.891              0      1         18
14         -0.643868      -2.122        14          2.834          1.891              0      1         17
15         -0.665837    -3.95173        15          3.782          1.891              0      1         17
17          -3.24402     2.72723        17          0.945          0.942              0      1         16
18          -3.04945    0.155804        18          1.892          0.942              0      1         18
19          -2.88514    -2.01542        19          2.834          0.942              0      1         18
20          -2.74054    -3.86454        20          3.782          0.942              0      1         14
22          -5.78544     2.79006        22          0.945              0              0      1         12
23          -5.43134    0.248652        23          1.892              0              0      1         17
24           -5.0938    -1.92312        24          2.834              0              0      1         16
25          -4.79049    -3.77773        25          3.782              0              0      1         10

Exterior Orientation Parameters: [0 , 0 , 90 , 1.01 , 2.3 , 3.5]



For Photo-ID:  65_12_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
1            3.59932     4.06072         1              0          3.778              0      1          7
2            3.58672      2.0924         2          0.945          3.778              0      1         12
3            3.55101   0.0584724         3          1.892          3.778              0      1         14
4            3.49628    -2.00857         4          2.834          3.778              0      1         14
5            3.43287    -4.08452         5          3.782          3.778              0      1         13
6             1.5908     4.10947         6              0          2.832              0      1         12
7            1.54322     2.15546         7          0.945          2.832              0      1         17
8            1.49604    0.129795         8          1.892          2.832              0      1         18
9            1.43608    -1.94456         9          2.834          2.832              0      1         18
10           1.37136    -4.04387        10          3.782          2.832              0      1         18
11          -0.39451     4.14298        11              0          1.891              0      1         10
12         -0.481003     2.21039        12          0.945          1.891              0      1         17
13         -0.561296    0.202493        13          1.892          1.891              0      1         18
14         -0.641867    -1.86796        14          2.834          1.891              0      1         17
15         -0.722496    -3.98191        15          3.782          1.891              0      1         17
17          -2.47571     2.26693        17          0.945          0.942              0      1         16
18          -2.60015    0.285374        18          1.892          0.942              0      1         18
19          -2.71106    -1.77596        19          2.834          0.942              0      1         18
20          -2.80541    -3.86951        20          3.782          0.942              0      1         14
24          -4.72437    -1.68644        24          2.834              0              0      1         16

Exterior Orientation Parameters: [-1.95499 , 3.63307 , 92.1197 , 2.23784 , 2.29393 , 3.99554]



For Photo-ID:  65_13_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
4            4.43719    -2.56598         4          2.834          3.778              0      1         14
5            4.14053    -4.76631         5          3.782          3.778              0      1         13
8            2.08309   0.0143838         8          1.892          2.832              0      1         18
9             1.9192    -2.34064         9          2.834          2.832              0      1         18
10           1.76338    -4.49444        10          3.782          2.832              0      1         18
13          -0.33181    0.136235        13          1.892          1.891              0      1         18
14          -0.39827    -2.11693        14          2.834          1.891              0      1         17
15         -0.459656    -4.20533        15          3.782          1.891              0      1         17
18          -2.51665    0.271396        18          1.892          0.942              0      1         18
19          -2.51144    -1.88777        19          2.834          0.942              0      1         18
23          -4.48399    0.375701        23          1.892              0              0      1         17
24          -4.42863    -1.69048        24          2.834              0              0      1         16

Exterior Orientation Parameters: [0 , 0 , 90 , 1.48 , 2.6 , 3.5]



For Photo-ID:  65_14_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
